Criterion;Control;"Achieved objectives 
Yes: green
In part: orange
No: red";Pilot (Responsible);Allocated resources;Justification / comment;"Issue to achieve? 
If yes, please explain";Expected date of completion;Date of final completion;"Review by WP leader
Yes: green
In part: orange
No: red";Date of review;Comment
PF3.4.8 The demonstrator must validate that the product perfectly fit with the specification (WP2.2: 10_8 Check the stability and the dimension of the product);Presence of space for checking the product;Yes;Alexandre;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;When a product is finished, where can you check that it fits with the order or the demand ? What should this space include to facilitate validation?
PF3.4.8 The demonstrator must validate that the product perfectly fit with the specification (WP2.2: 10_8 Check the stability and the dimension of the product);Presence of manufacturing skills;Yes;Cristian / Benjamin;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;provide details, can you precise the skills as well as possible ?
PF3.9.1 The demonstrator must extract raw material according to the order preparation instructions (quantity, type…) (WP2.2: 15_1 Pick materials);A smart plastic waste collector;Yes;Alex;NA;[26/01/2022] We start installing the smart collector in the neighbourhood.;Meeting with actors, interviews about their recycling practices.;NA;NA;In part;2022-05-02T00:00:00Z;add details
PF3.9.1 The demonstrator must extract raw material according to the order preparation instructions (quantity, type…) (WP2.2: 15_1 Pick materials);Skills in initial quality evaluation;Yes;Fabio / Benjamin;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;add details
PF3.9.1 The demonstrator must extract raw material according to the order preparation instructions (quantity, type…) (WP2.2: 15_1 Pick materials);Raw material order;In part;Benjamin;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;add details
PF3.9.2 The demonstrator must characterize the movement of the package from one location to another in a same place. (WP2.2: 15_2 Ship the package);Handling equipment and skills;In part;Cristian / Alexandre;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;add details
PF3.9.2 The demonstrator must characterize the movement of the package from one location to another in a same place. (WP2.2: 15_2 Ship the package);Traceability report;In part;Cristian / Alexandre;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;add details
PF3.9.3 The demonstrator must allow the transfer of a product/component from one place to another (WP2.2: 15_3 Transport goods to the shipping areas);Handling equipment;Yes;Cristian / Alexandre;industrial Tweezers, Cutting plier;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;add details
PF3.9.3 The demonstrator must allow the transfer of a product/component from one place to another (WP2.2: 15_3 Transport goods to the shipping areas);Raw material order;In part;Cristian / Alexandre;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;add details
PF3.9.3 The demonstrator must allow the transfer of a product/component from one place to another (WP2.2: 15_3 Transport goods to the shipping areas);Traceability report;In part;Cristian / Alexandre;NA;[26/01/2022] we can update the production status, but the global shipment status must be managed by the platform or not?;NA;NA;NA;In part;2022-05-02T00:00:00Z;Ok from UL, to validate with the platform
PF3.10.1 The demonstrator must describe the different assembly steps from the production instruction (WP2.2: 16_1 Identify assembly operations);Production and assembly instruction;Yes;Cristian / Alexandre;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;add details
PF3.10.1 The demonstrator must describe the different assembly steps from the production instruction (WP2.2: 16_1 Identify assembly operations);Assembly skills;Yes;Cristian / Alexandre;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;add details
PF3.10.2 The demonstrator must allow each part of the assembly to be positioned prior to attachment (WP2.2: 16_2 Position the part preliminary);Informing about the progress of the manufacture of the component and its distribution;Yes;Fabio / Benjamin;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""progress of the manufacture"" works"
PF4.1.1 The facilities of the demonstrator must receive the specifications of the product/component to be manufactured;"Validation of the specification
reception";No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""specification reception"" works"
PF4.1.2 The facilities of the demonstrator must receive information about the order (quantity, delay...);Validation of the reception of information about the order (quality, delay…);No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""reception of information about the order"" works"
PF4.1.3 The facilities of the demonstrator must receive information about product/component deliveries;"Validation of the reception of
information about the
product/component deliveries";No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""reception of information about the deliveries"" works"
PF4.2.1 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their specialities (skills, technologies, processes, etc.).;"Identification of the tasks that
the facility can perform in
terms of skills, technologies,
processes, location, capacity";No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;You must provide this information to the platform so that it can identify you as potential producers
PF4.2.1 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their specialities (skills, technologies, processes, etc.).;Ability to perform the task;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;You need to provide information about your ability to perform certain tasks to the platform so that it can identify you as potential producers... therefore, you need to formalize which tasks you are able to perform with your technologies
PF4.2.1 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their specialities (skills, technologies, processes, etc.).;"Availability to carry out the
task";No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;You must provide information about your availability to perform certain tasks to the platform so that it can identify you as potential producers...
PF4.2.1 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their specialities (skills, technologies, processes, etc.).;Transmission of this data;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""transmission of production data"" works"
PF4.2.2 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their location.;Identification of the tasks that the facility can perform in terms of skills, technologies, processes, location, capacity;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;You must provide information about your location to the platform so that it can identify you as potential producers
PF4.2.2 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their location.;Ability to perform the task;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;It can be the same justification of the same control from the PF4.2
PF4.2.2 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their location.;Availability to carry out the task;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;It can be the same justification of the same control from the PF4.2
PF4.2.2 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their location.;Transmission of this data;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""transmission of production data"" works"
PF4.2.3 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their production capacity;Identification of the tasks that the facility can perform in terms of skills, technologies, processes, location, capacity;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;You must provide information about its capacity to the platform so that it can identify you as potential producers
PF4.2.3 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their production capacity;Ability to perform the task;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;It can be the same justification of the same control from the PF4.2
PF4.2.3 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their production capacity;Availability to carry out the task;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;It can be the same justification of the same control from the PF4.2
PF4.2.3 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their production capacity;Transmission of this data;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""transmission of production data"" works"
PF4.3.1 The facilities of the demonstrator must communicate about their needs in materials or components;Reception of the information;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""reception of the information"" works"
PF4.3.2 The facilities of the demonstrator must communicate about their production progress;"Communication about their
production progress";No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""production progress"" works"
PF4.3.2 The facilities of the demonstrator must communicate about their production progress;"Transmission of the
information to the platform";No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""transmission of the information"" works"
PF4.3.3 The facilities of the demonstrator must share their sustainable practices;Identification of the sustainable practices;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;You need to formalize your sustainable practices. For remind, the demonstrator has to part of circular economy
PF4.3.3 The facilities of the demonstrator must share their sustainable practices;Transmission of these practices to the platform;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;You need to transmit your sustainable practices to the platform to fufill the database
PF4.4.1 The facilities of the demonstrator must communicate any change in the product specification;"Communication about changes
on the specification";No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""communication about changes"" works"
PF4.4.2 The facilities of the demonstrator must communicate about their production progress;Communication about their production progress;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""production process"" works"
PF4.4.3 The facilities of the demonstrator must communicate about deliveries and delays;Communication about deliveries and delays;No;Cristian;NA;"-[20/10/2021]: I think we need to received from Innovation Hub (ERP) the specifications of the printed part. 
However, to the date, we don't know the specifications or model for this";NA;NA;NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""communication about deliveries and delays"" works"
PF5.1.1The demonstrator must identify the possibilities of customization according to the chosen raw materials.;Identification of the possibilities of personalization for the materials used by the installations;In part;Fabio / Cristian;NA;[28-03-2022] The technologies we are developing will allow us to make 3D prints, small injection molded parts, plastic sheets and profiles. Demonstrated in different projects carried out at UL;NA;NA;NA;In part;2022-05-02T00:00:00Z;There should be evidence and an illustrated summary of what could be done
PF5.1.1The demonstrator must identify the possibilities of customization according to the chosen raw materials.;Transmission of the possibilities of personalization;Yes;Fabio / Benjamin;NA;[28-03-2022] The technologies we are developing will allow us to make 3D prints, small injection molded parts, plastic sheets and profiles. Demonstrated in different projects carried out at UL;NA;NA;NA;In part;2022-05-02T00:00:00Z;The possibilities of personalization need to be formalized to be sent to the platform
PF5.1.2 The demonstrator must identify the possibilities of customization according to the preferred technologies.;Identification of the possibilities of personalization for the technologies used by the installations;Yes;Fabio / Cristian;NA;[28-03-2022] The technologies we are developing will allow us to make 3D prints, small injection molded parts, plastic sheets and profiles. Demonstrated in different projects carried out at UL;NA;NA;NA;In part;2022-05-02T00:00:00Z;There should be evidence and an illustrated summary of what could be done
PF5.1.2 The demonstrator must identify the possibilities of customization according to the preferred technologies.;Transmission of the possibilities of customization of the installations’ technologies;Yes;Fabio / Cristian;NA;[28-03-2022] The technologies we are developing will allow us to make 3D prints, small injection molded parts, plastic sheets and profiles. Demonstrated in different projects carried out at UL;NA;NA;NA;In part;2022-05-02T00:00:00Z;The possibilities of personalization need to be formalized to be sent to the platform
PF5.3.1The demonstrator must provide information on the recyclability and repairability of the product's parts.;Definition of the procedures to be followed to recycle the product;Yes;Fabio;NA;"[28-03-2022] Recycling of the part produced by UL? 
The plastic is recycled according to the regulations of each country. It can be established that each of our printed or injected pieces has its logo with respect to the plastic used. EX PLA=7, HDPE = 2 ...";NA;NA;NA;Yes;2022-03-29T00:00:00Z;from an industrialization point of view, we need to see the logos
PF5.3.1The demonstrator must provide information on the recyclability and repairability of the product's parts.;Definition of the procedures to be followed to repair the product;In part;Fabio / Cristian;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;can you formalize how your products can be repaired
PF5.3.2 The demonstrator must identify the stakeholders involved in recycling and repair on the territory.;Inventory of product recycling facilities on the territory;In part;Fabio / Fedoua;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;Can you identify the companies able to recycle your product in your territory?
PF5.3.2 The demonstrator must identify the stakeholders involved in recycling and repair on the territory.;Inventory of facilities for the repair of products on the territory;In part;Fabio / Fedoua;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;Can you identify the companies able to repair your product in your territory?
PF5.3.2 The demonstrator must identify the stakeholders involved in recycling and repair on the territory.;Transmission of identified installations;In part;Fabio / Fedoua;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;This information must be transmitted to the platform
PF5.4.1 The demonstrator must identify the expertise required to support users;Identification of the expertise;Yes;Cristian / Benjamin;NA;[27/01/2022] We know the possibilities and limits of our 3D printing technology. What shapes can be printed without problems, with what material and have a time estimate. With regard to the injection moulding technology we have the necessary know-how in terms of technology and materials.;NA;NA;NA;In part;2022-05-02T00:00:00Z;"can you provide example concerning shapes, materials, time

With that, i can validate it"
PF5.4.1 The demonstrator must identify the expertise required to support users;Transmission of this information;In part;Cristian;NA;[27/01/2022] We need the platform;NA;NA;NA;In part;2022-05-02T00:00:00Z;This information must be transmitted to the platform
PF5.4.2 The demonstrator must know the skills of the experts.;Identification of the facility’s skills;In part;Cristian / Benjamin;NA;[27/01/2022] Skills in 3D printing, plastic material and recycled plastic, CAD software, 3D modelling, laser cutting, mould manufacturing, injection moulding,;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
PF5.4.2 The demonstrator must know the skills of the experts.;Transmission of these skills;In part;Cristian;NA;[27/01/2022] Platform;NA;NA;NA;In part;2022-05-02T00:00:00Z;This information must be transmitted to the platform
PF5.4.3 The demonstrator must inform of a need for support by the appropriate experts.;Identification of how experts can help users;Yes;Fabio;NA;"[03/01/2022]
- up to date, No conection with INEDIT plateform";NA;NA;NA;No;2022-05-02T00:00:00Z;waiting for the development of the platform
PF5.4.3 The demonstrator must inform of a need for support by the appropriate experts.;Transmission of this information;Yes;Fabio;"[03/01/2022]
- up to date, No conection with INEDIT plateform";"[03/01/2022]
- up to date, No conection with INEDIT plateform";NA;NA;NA;No;2022-05-02T00:00:00Z;waiting for the development of the platform
SF1.1.3 The facilities of the demonstrator must inform of its means of production;Transmission of the designation of the technology of the company (label, manufacturer, size, weight, material used, production capacity, rate, consumption);Yes;Cristian / Alexandre;PC, software (bizagui);[25/01/2022] The work is in progress, a document will present the global activity of UL demonstrator through modelling systems. The document will explain each process  with their respective technology.;NA;NA;NA;In part;2022-05-02T00:00:00Z;"please put details we need these elements to design the users guides (D4.5)
Can you specify / formalize the characteristics of your technologies"
SF1.2.2 The facilities of the demonstrator must inform of its customer orders;Update the order progress;Yes;Alexandre;NA;Platform;NA;NA;NA;In part;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""Update the order progress"" works"
SF1.2.3 The facilities of the demonstrator must inform of its production capabilities;Information of production capabilities to facilitate the production plan;Yes;Benjamin / Cristian;NA;[25/01/2022] The Gigabot generates the bottleneck, only 8 hours a day of printing, under constant supervision.;NA;NA;NA;Yes;2022-03-01T00:00:00Z;Ok
SF1.2.4 The facilities of the demonstrator must inform of its deadlines;"Transmission of its deadline in
real time";Yes;Cristian;NA;Platform;NA;NA;NA;In part;2022-05-02T00:00:00Z;This information must be transmitted to the platform
SF1.3.1 The facilities of the demonstrator must inform about their localisation;Transmission of the geographical position of the company;Yes;Cristian / Alexandre;NA;Platform;NA;NA;NA;In part;2022-05-02T00:00:00Z;This information must be transmitted to the platform
SF1.3.2 The facilities of the demonstrator must inform about financial cost of their activities;Transmission of product production costs;Yes;Cristian;NA;Platform;NA;NA;NA;In part;2022-05-02T00:00:00Z;This information must be transmitted to the platform
SF1.3.2 The facilities of the demonstrator must inform about financial cost of their activities;Transmission of product transport costs;Yes;Cristian;NA;Platform;NA;NA;NA;In part;2022-05-02T00:00:00Z;This information must be transmitted to the platform
SF2.1.1 The facilities of the demonstrator must identify and formalize their eco-design practices for their products and packaging.;Identification of eco-design practices for their product and packaging;In part;Cristian;Utilization of recycled materials from short-loop recycling;[14-04-2022] Consider the production material. To be conscious of the environmental impacts in the production chain. . Process optimization in terms of material and energy used. Prefer recycled materials. Consider recycled paper packaging, etc.;NA;NA;NA;Yes;2022-05-02T00:00:00Z;Ok
SF2.1.1 The facilities of the demonstrator must identify and formalize their eco-design practices for their products and packaging.;Formalization of eco-design practices for their product and packaging;In part;Cristian;"Utilization of recycled materials from short-loop recycling. 
Smartcollector";[14-04-2022] At the moment we are working to use recycled material in 3D printing and injection molding. we plan to carry out an LCA of our process to optimize our processes and reduce our environmental impact. At the moment we do not have packaging;NA;NA;NA;Yes;2022-05-02T00:00:00Z;Ok
SF2.1.4 The facilities of the demonstrator should identify and formalize their waste sorting and recycling practices.;Identification of waste sorting and recycling practices;Yes;Cristian;NA;"[28-03-2022] Stages of our recycling process: collection, material preparation, manufacturing and delivery.                 [14-04-2022] Benefits of short-circuit recycling. Plastic should be separated by type of plastic. Plastic recycling can be done mechanically, transforming the plastic waste into raw material. There are different ways to recycle plastic. We focus on mechanical recycling.    
";NA;NA;NA;Yes;2022-05-02T00:00:00Z;Ok
SF2.1.4 The facilities of the demonstrator should identify and formalize their waste sorting and recycling practices.;Formalisation of waste sorting and recycling practices;Yes;Cristian;NA;[14-042022] The collection is done in areas of less than 2 kilometers, which is why bicycle transportation is favored. The collection of plastic is done by means of intelligent collectors that allow us to optimize our displacements. . In the separation of plastic, a sorting area was established to separate the material by type, condition and color. This allows us to establish the necessary raw material for our production phase. We are developing 3D technology and mold injection to manufacture products or sub-products.;NA;NA;NA;Yes;2022-05-02T00:00:00Z;Ok
SF2.2.1 The facilities of the demonstrator must share their eco-design practices for their products and packaging.;Transmission of ecodesign practices;Yes;Fabio;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;To develop
SF2.2.4 The facilities of the demonstrator should share their waste sorting and recycling practices.;Transmission of the waste sorting and recycling practices;Yes;Cristian;NA;[14-04-2022] The collection is done in areas of less than 2 kilometers, which is why bicycle transportation is favored. The collection of plastic is done by means of intelligent collectors that allow us to optimize our displacements. . In the separation of plastic, a sorting area was established to separate the material by type, condition and color. This allows us to establish the necessary raw material for our production phase. We are developing 3D technology and mold injection to manufacture products or sub-products.;NA;NA;NA;Yes;2022-05-02T00:00:00Z;Ok, this information must be transmitted to the platform
SF2.3.1 The facilities of the demonstrator must share their eco-design initiatives for their products and packaging.;"Transmission of ecodesign
initiatives";In part;Cristian;NA;[14-04-2022] Integration of recycled materials by different project holders in the Octroi association.;Planning a workshop to develop new ideas.;NA;NA;Yes;2022-05-02T00:00:00Z;Ok, this information must be transmitted to the platform
SF2.3.4 The facilities of the demonstrator should share their waste sorting and recycling initiatives.;"Transmission of the waste sorting and
recycling initiatives";Yes;Cristian/ Fedoua/ Fabio/ Alexandre;NA;[28-03-2022] Stakeholder feedback regarding the smartcollector, applied workshops...;NA;NA;NA;Yes;2022-05-02T00:00:00Z;Ok, this information must be transmitted to the platform
SF3.1.1 The demonstrator must be aware of the technical constraints of the technologies;Description of the possibilities of customization of technologies;Yes;Cristian;NA;[28-03-2022] The technologies we are developing will allow us to make 3D prints, small injection molded parts, plastic sheets and profiles. Demonstrated in different projects carried out at UL;NA;NA;NA;In part;2022-05-02T00:00:00Z;There should be evidence and an illustrated summary of what could be done
SF3.1.1 The demonstrator must be aware of the technical constraints of the technologies;Transmission of the technical constraints of each technology;Yes;Cristian;NA;[28-03-2022]Each technology has its defined capabilities which will be formalized and shared by different channels.;NA;NA;NA;In part;2022-05-02T00:00:00Z;The possibilities of personalization need to be formalized to be sent to the platform
SF3.2.1 The demonstrator must propose technical solutions that can be achieved by its technologies;Presence of technology characterization support;Yes;Cristian;NA;[28-03-2022]Each technology has its defined capabilities which will be formalized and shared by different channels.;NA;NA;NA;In part;2022-05-02T00:00:00Z;There should be evidence and an illustrated summary of what could be done
SF3.2.1 The demonstrator must propose technical solutions that can be achieved by its technologies;Knowledge of the technical constraints of the technologies;Yes;Cristian;NA;[28-03-2022]Each technology has its defined capabilities which will be formalized and shared by different channels.;NA;NA;NA;In part;2022-05-02T00:00:00Z;There should be evidence and an illustrated summary of what could be done
SF3.2.1 The demonstrator must propose technical solutions that can be achieved by its technologies;Knowledge of the capacities of the technologies (dimensions to be produced, production capacity);Yes;Cristian;NA;[28-03-2022]Each technology has its defined capabilities which will be formalized and shared by different channels.;NA;NA;NA;In part;2022-05-02T00:00:00Z;There should be evidence and an illustrated summary of what could be done
SF3.2.1 The demonstrator must propose technical solutions that can be achieved by its technologies;Learning from technology data (3D model);NA;NA;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain
SF3.2.2 The demonstrator must advise the user on materials suitable for his chosen technology and their requirements;Presence of technology characterization support and a material description support;Yes;Cristian;NA;[28-03-2022]Each technology has its defined capabilities which will be formalized and shared by different channels. For the different types of materials used, each will be described in detail for a better understanding.;NA;NA;NA;In part;2022-05-02T00:00:00Z;There should be evidence and an illustrated summary of what could be done
SF3.2.2 The demonstrator must advise the user on materials suitable for his chosen technology and their requirements;Identification of materials used by companies;Yes;Cristian;NA;"[28-03-2022] Which companies? or the UL demonstrator
In the UL we use Wood, virgin and recycled plastic (PLA,HDPE, PP, PET, PMMA) and metal";NA;NA;NA;Yes;2022-03-29T00:00:00Z;Ok
SF3.2.2 The demonstrator must advise the user on materials suitable for his chosen technology and their requirements;Knowledge of materials (resistance, degradation, durability, recyclability, toxicity;In part;Fabio / Hakim ?;[LD]Catalina thesis? + Cifre entreprise (LRGP + LERMAB) ?;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;provide details, can you precise the skills as well as possible ?
SF3.3.1 The demonstrator shall inform users of the conditions for recycling parts of the product.;Identification of constituent materials;NA;NA;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;You need to know the composition of your materials in order to facilitate the recycling (is it mixed materials ?)
SF3.3.1 The demonstrator shall inform users of the conditions for recycling parts of the product.;Identification of the recyclable potential of materials, the suitable recycling solutions and the recycling companies on the territory;In part;Fabio / Hakim ?;[LD]Catalina thesis? + Cifre entreprise (LRGP + LERMAB)?;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;It can be linked with your actions from the SF2 and PF5
SF3.3.1 The demonstrator shall inform users of the conditions for recycling parts of the product.;Transmission of recycling instructions;Yes;Cristian;NA;[28-03-2022] The plastic is recycled according to the regulations of each country. It can be established that each of our printed or injected pieces has its logo with respect to the plastic used. In France we use the identification of the different types of plastic by numbers. 1 = PET, 2= PEHD ... 5= PP, etc. These plastics are separated in different bags from the garbage for later recycling.;NA;NA;NA;In part;2022-05-02T00:00:00Z;Ok, but what are the instructions for the users
SF3.4.1 The demonstrator must assess the environmental impact of the product;Identification of product production and consumption data;Yes;Cristian;"Open LCA software
Ecoinvent Data base";[28-03-2022] The development of LCA by INEDIT and UL will allow us to obtain data concerning the impact of our production.;NA;NA;NA;In part;2022-05-02T00:00:00Z;Waiting for proofs
SF3.5.1 The demonstrator must identify their customization solutions;Description of the possibilities of customization of technologies;Yes;Cristian;NA;[28-03-2022] The technologies we are developing will allow us to make 3D prints, small injection molded parts, plastic sheets and profiles.;NA;NA;NA;In part;2022-05-02T00:00:00Z;There should be evidence and an illustrated summary of what could be done
SF3.5.1 The demonstrator must identify their customization solutions;Transmission of the technical constraints of each technology;In part;Cristian;NA;[28-03-2022]Each technology has its defined capabilities which will be formalized and shared by different channels.;NA;NA;NA;In part;2022-05-02T00:00:00Z;The possibilities of personalization need to be formalized to be sent to the platform
SF4.1.1 Demonstrator facilities should strengthen and enhance employment potential (job creation and emergence of new trades);Identification of the new jobs created locally;Yes;Laurent;INEDIT budget + time to ensure recruitment;"Alexandre Astachenko a work-study student (LP After) for 12 months
Cristian Caceres as Engineer (M2 level) for 12 months
Guillaume Pronost as PhD student for 36 months
+ 2 post-Doc jobs (1st for 36 months, 2nd for 24 months) have also been created
+ 1 technical staff 12 months";NA;NA;NA;Yes;2022-03-29T00:00:00Z;+ voir Hakim pour les thèses CIFRE (LRGP & LERMAB)
SF4.1.1 Demonstrator facilities should strengthen and enhance employment potential (job creation and emergence of new trades);Evaluation and monitoring of the perennity and stability of these jobs;Yes;Mauricio;"Infra+ (quality process) of ERPI laboratory 
LP After & LP FabAdd pedagogocal team
Ecole doctorale";"under analysis: policy of perpetuating posts or transforming them into an economic activity (start-up)
for PhD Student - Job done by ED & Univesrsity
Reflections on the design and analysis of the optimal business model of the Green fab lab are engaged in order to guide the evolution of its activity (e.g.: start-up)";NA;NA;NA;Yes;2022-03-29T00:00:00Z;ok
SF4.1.1 Demonstrator facilities should strengthen and enhance employment potential (job creation and emergence of new trades);Identification of direct and indirect effects on local employment;In part;Mauricio / Laurent;"Meetings with Octroi nancy
Cooperation with others Lab & SMEs (Hakim)";"Octroi Nancy activity 
Lucas Renaud, a graduate of the LP AFTER, is employed by the association Octroi Nancy and previously student (see convention)
Two PhD Student (see job description)";"indirect indicators
need time";NA;NA;Yes;2022-03-29T00:00:00Z;ok + voir Hakim pour les thèses CIFRE
